paperID,year,authors,journal,title,species,order,parent,lifestage,trait,low_protein,low_sd,var_LP,n_LP,high_protein,var_HP,high_sd,n_HP,var_type,result,diet manip,notes,
22,2003,"Millar, Paine, Joyce & Hanks",Forest Entomology,The Effects of Eucalyptus Pollen on Longevity and Fecundity of Eucalyptus Longhorned Borers (Coleoptera: Cerambycidae),Phoracantha semipunctata,Coleoptera,both,adult,% egg hatch,90,,2,15,86,4,,15,se,nd,sucrose vs sucrose+dog chow,,
23,2019,"Moghaddassi, Ashouri, Bandani, Leppla & Shirk",Journal of Insect Science,Effect of Ephestia kuehniella (Lepidoptera: Pyralidae) Larval Diet on Egg Quality and Parasitism by Trichogramma brassicae (Hymenoptera: Trichogrammatidae),Ephestia kuehniella,Lepidoptera,both,larval,% egg hatch,91,,1.3,3,94.7,1.4,,3,se,nd,reduced vs minimal,"note, the text says minimal has higher protein, but reduced has added yeast (protein) so consider it higher protein for consistency",
24,2021,Nyasembe et al,Parasites & Vectors,Plant nutrient quality impacts survival and reproductive fitness of the dengue vector Aedes aegypti,Aedes aegypti,Diptera,female,adult,% egg hatch,10,,56.08,9,65,24.1,,9,IQR,nd,blood vs blood + glucose,"Median IQR from Fig 4. LP - 5, 10, 60   HP - 45.6, 65, 70",
24,2021,Nyasembe et al,Parasites & Vectors,Plant nutrient quality impacts survival and reproductive fitness of the dengue vector Aedes aegypti,Aedes aegypti,Diptera,female,adult,% egg hatch,13,,54.9,9,64,20.6,,9,IQR,nd,blood vs blood + glucose,"Median IQR from Fig 4. LP - 5.25, 13.4, 60.2   HP - 48.3, 63.3, 68.9",
25,2018,"Panduranga, Sharma & Sharma",Indian Journal of Biochemistry & Biophysics,Evaluation of liquid artificial larval diets for mass rearing of Bactrocera cucurbitae,Bactrocera cucurbitae,Diptera,both,larval,% egg hatch,46.86,,0,20,50.04,0.88,,20,se,nd,diet 3 (lowest protein) vs 5 (highest protein),arcsine transformed values,
26,1982,Pearson & Herron,British Poultry Science,Effects of maternal energy and protein intakes on the incidence of malformations and malpositions of the embryo and time of death during incubation,Gallus gallus domesticus,Galliformes,both,adult,% egg hatch,79.3,,,,79.8,,,,,nd,"compared at high energy, young hens.",,
26,1982,Pearson & Herron,British Poultry Science,Effects of maternal energy and protein intakes on the incidence of malformations and malpositions of the embryo and time of death during incubation,Gallus gallus domesticus,Galliformes,both,adult,% egg hatch,81,,,,78.1,,,,,nd,medium energy,,
26,1982,Pearson & Herron,British Poultry Science,Effects of maternal energy and protein intakes on the incidence of malformations and malpositions of the embryo and time of death during incubation,Gallus gallus domesticus,Galliformes,both,adult,% egg hatch,80.1,,,,73.1,,,,,nd,low energy,,
27,2017,Polak et al,Proceedings B,Nutritional geometry of paternal effects on embryo mortality,Drosophila melanogaster,Diptera,male,adult,embryo mortality,,,,,,,,,,nd,nut geo design,"PXC interaction, but effect of carbs much stronger. ",
28,2016,"Rashed, Shalaby, Hafez & ElHossary",Egyptian Journal of Biological Pest Control,Comparative Study of the Biology of Coccinella septempunctata L. (Coleoptera: Coccinellidae) Reared on Four Artificial Diets and Two Species of Aphids (Homoptera - Sternorrhynca: Aphididae),Coccinella septempunctata,Coleoptera,both,larval,% egg hatch,79.2,,1.91,5,72.8,1.91,,5,se, -,"various. D low protein control, compared to C (powdered chicken liver)",,
29,2006,"Sagel, Berkebile, Foster & Skoda",Journal of Entomological Science,The optimum diet of spray-dried animal blood cells as protein source for adult screwworms (Diptera: Calliphoridae),Cochliomyia hominivorax,Diptera,both,adult,% egg hatch,72.66,,10.89,5,63.4,15.52,,5,sd,nd,2 vs 6% protein Expnt 2,,
29,2006,"Sagel, Berkebile, Foster & Skoda",Journal of Entomological Science,The optimum diet of spray-dried animal blood cells as protein source for adult screwworms (Diptera: Calliphoridae),Cochliomyia hominivorax,Diptera,both,adult,% egg hatch,70,,7.07,5,75.25,1.7,,5,sd,nd,".16 vs .24, Expt 1",,
29,2006,"Sagel, Berkebile, Foster & Skoda",Journal of Entomological Science,The optimum diet of spray-dried animal blood cells as protein source for adult screwworms (Diptera: Calliphoridae),Cochliomyia hominivorax,Diptera,both,adult,% egg hatch,69.7,,5.68,5,69.3,5.69,,5,sd,nd,1.25 vs 2.75 Expt 3,,
30,2017,Sattar,Pakistan J Zool,Impact of Proteins in Adult Artificial Diet of Chrysoperla carnea (Stephens) (Neuroptera: Chrysopidae) on Biological Parameters,Chrysoperla carnea,Neuroptera,both,adult,fertility %,62.2,,2.52,8,45.06,2.47,,8,se, -,Casein 1 vs 7%,,
30,2017,Sattar,Pakistan J Zool,Impact of Proteins in Adult Artificial Diet of Chrysoperla carnea (Stephens) (Neuroptera: Chrysopidae) on Biological Parameters,Chrysoperla carnea,Neuroptera,both,adult,fertility %,74.06,,2.34,8,57.33,1.77,,8,se, -,protein hydrolysate 1 vs 7%,,
30,2017,Sattar,Pakistan J Zool,Impact of Proteins in Adult Artificial Diet of Chrysoperla carnea (Stephens) (Neuroptera: Chrysopidae) on Biological Parameters,Chrysoperla carnea,Neuroptera,both,adult,fertility %,65.25,,5.13,8,47.34,4.59,,8,se, -,torula yeast 1 vs 7%,,
30,2017,Sattar,Pakistan J Zool,Impact of Proteins in Adult Artificial Diet of Chrysoperla carnea (Stephens) (Neuroptera: Chrysopidae) on Biological Parameters,Chrysoperla carnea,Neuroptera,both,adult,fertility %,65.71,,4.11,8,50.01,0.79,,8,se, -,nu lure 1 vs 7%,,
31,2017,"Ugurlu, Akdag, Teke & Salman",Brazilian J Poultry Science,"Effects of Protein in Diet and Sex Ratio on Egg Production, Egg and Hatching Chick Weight, Fertility, Hatchability and Embryonal Mortality in Pheasants (Phasianus Colchicus)",Phasianus colchicus,Galliformes,both,adult,% egg hatch,71.91,,,,70.87,,,,,nd,15 vs 18% crude protein,,
32,2017,Wilder & Schneider,J Insect Physiology,Micronutrient consumption by female Argiope bruennichi affects offspring survival,Argiope bruennichi,Araneae,female,adult,% egg hatch,68,,6,20,75,7,,19,se,nd,control vs EAA,hatching success does not equal # hatching/# eggs?,
33,2013,Zhang et al,Aquaculture,"Effects of different monoalgal diets on egg production, hatching success and apoptosis induction in a Mediterranean population of the calanoid copepod Acartia tonsa (Dana)",Acartia tonsa,Calanoida,both,adult,% egg hatch,46.5,,16,8,44.1,25.6,,8,sd,nd,2 diatoms SKE (low P) vs PHAE,,
34,1981,"Petrovsky, Grolmus, Kalova & Dubovsky",British Poultry Science,Effects of ethylnitrosourea on the hatchability and survival of chicks,Gallus gallus domesticus,Galliformes,female,adult,% egg hatch,71,,,,64,,,,, - ,standard vs higher energy and protein,no sample size or variance reported,
35,2017,"Macartney, Crean & Bonduriansky",J Evol Biol,Adult dietary protein has age- and context-dependent effects on male post-copulatory performance,Telostylinus angusticollis,Diptera,male,adult,% egg hatch,,,,,,,,,, - ,sugar vs sugar+yeast,"Interactive effects, but there was a main effect of adult diet",
