"","esID","paperID","year","first_author","authors","journal","title","species","order","parent","lifestage","trait","low_protein","low_sd","var_LP","n_LP","high_protein","high_sd","var_HP","n_HP","var_type","result","diet.manip","notes","X","high_protein_asin","low_protein_asin","high_sd_transform","low_sd_transform","lnRR","var"
"11",23,15,2003,"Helland et al","Helland et al","Marine Biology","Effects of season and maternal food on Calanus finmarchicus reproduction, with emphasis on free amino acids","Calanus finmarchicus","Calanoida","female","adult","% egg hatch",88,6.7,6.7,40,86.4,40,8,8,"sd","nd","Spring ZO (low) vs SZ1 (high)","Data from Fig 4","",1.19309824527622,1.21705472090523,0.583450035011671,0.103089123695191,-0.0198802855901579,0.044918621949307
"12",24,16,2014,"Hernández et al","Hernandez et al","International Journal of Tropical Insect Science","Demographic and quality control parameters of laboratory and wild Anastrepha striata (Diptera: Tephritidae)","Anastrepha striata","Diptera","mixed sex","development","% egg hatch",93.1,2.771281292,0.8,12,89,2.771281292,0.8,12,"se","nd","TYC (higher protein) vs SG","","",1.23273107201457,1.30499917431685,0.0442852671029228,0.0546702712246762,-0.0569703163402203,0.000409475762043107
"13",27,18,2003,"Mevi-Schütz & Erhardt","Mevi-Schutz & Erhardt","Basic Appl Ecol","Effects of nectar amino acids on fecundity of the wall brown butterfly (Lasiommata megera L.)","Lasiommata megera","Lepidoptera","female","adult","% egg hatch",79,27.49545417,6,21,71,24.49489743,5,24,"se","nd","fed a nectar mimic containing amino acids or a nectar mimic without amino acids","","",1.00212082343239,1.09476250873357,0.269909055993518,0.33752637028106,-0.0884188750827037,0.0077226098185587
"14",28,19,2003,"Millar et al","Millar, Paine, Joyce & Hanks","Forest Entomology","The Effects of Eucalyptus Pollen on Longevity and Fecundity of Eucalyptus Longhorned Borers (Coleoptera: Cerambycidae)","Phoracantha recurva","Coleoptera","mixed sex","adult","% egg hatch",93,3.872983346,1,15,91,7.745966692,2,15,"se","nd","sucrose vs sucrose+dog chow","","",1.2661036727795,1.3030329996377,0.135332990482944,0.0758970925857999,-0.0287504133139619,0.00162487816715975
"15",29,19,2003,"Millar et al","Millar, Paine, Joyce & Hanks","Forest Entomology","The Effects of Eucalyptus Pollen on Longevity and Fecundity of Eucalyptus Longhorned Borers (Coleoptera: Cerambycidae)","Phoracantha semipunctata","Coleoptera","mixed sex","adult","% egg hatch",90,7.745966692,2,15,86,15.49193338,4,15,"se","nd","sucrose vs sucrose+dog chow","","",1.18729932286396,1.24904577239825,0.22323504879861,0.129099444866667,-0.0506986263347665,0.00448548353689223
"16",30,20,2019,"Moghaddassi et al","Moghaddassi, Ashouri, Bandani, Leppla & Shirk","Journal of Insect Science","Effect of Ephestia kuehniella (Lepidoptera: Pyralidae) Larval Diet on Egg Quality and Parasitism by Trichogramma brassicae (Hymenoptera: Trichogrammatidae)","Ephestia kuehniella","Lepidoptera","mixed sex","development","% egg hatch",91,2.25166605,1.3,3,94.7,2.424871131,1.4,3,"se","nd","reduced vs minimal","note, the text says minimal has higher protein, but reduced has added yeast (protein) so consider it higher protein for consistency","",1.33849536352542,1.2661036727795,0.0541184990494953,0.0393397896262756,0.0556019096386983,0.00150201283027129
"17",33,22,2018,"Panduranga","Panduranga, Sharma & Sharma","Indian Journal of Biochemistry & Biophysics","Evaluation of liquid artificial larval diets for mass rearing of Bactrocera cucurbitae","Bactrocera cucurbitae","Diptera","mixed sex","development","% egg hatch",46.86,0,0,20,50.04,3.93547964,0.88,20,"se","nd","diet 3 (lowest protein) vs 5 (highest protein)","arcsine transformed values","",0.785798163440115,0.753977487252522,0.0393548089935409,0,0.0413374601298116,7.93994546859156e-05
"18",34,23,2016,"Rashed et al","Rashed, Shalaby, Hafez & ElHossary","Egyptian Journal of Biological Pest Control","Comparative Study of the Biology of Coccinella septempunctata L. (Coleoptera: Coccinellidae) Reared on Four Artificial Diets and Two Species of Aphids (Homoptera - Sternorrhynca: Aphididae)","Coccinella septempunctata","Coleoptera","mixed sex","development","% egg hatch",79.2,4.270889837,1.91,5,72.8,4.270889837,1.91,5,"se"," -","various. D low protein control, compared to C (powdered chicken liver)","","",1.02214591947248,1.09722196851923,0.0479886167835083,0.0526131271358728,-0.0708772422894983,0.0010099452272653
"19",35,24,2006,"Sagel et al","Sagel, Berkebile, Foster & Skoda","Journal of Entomological Science","The optimum diet of spray-dried animal blood cells as protein source for adult screwworms (Diptera: Calliphoridae)","Cochliomyia hominivorax","Diptera","mixed sex","adult","% egg hatch",72.66,10.89,10.89,5,63.4,15.52,15.52,5,"sd","nd","2 vs 6% protein Expnt 2","","",0.921056408435091,1.02057411327857,0.16109295558435,0.122166162566996,-0.102599322766239,0.00822060181062731
"20",36,24,2006,"Sagel et al","Sagel, Berkebile, Foster & Skoda","Journal of Entomological Science","The optimum diet of spray-dried animal blood cells as protein source for adult screwworms (Diptera: Calliphoridae)","Cochliomyia hominivorax","Diptera","mixed sex","adult","% egg hatch",70,7.07,7.07,5,75.25,1.7,1.7,5,"sd","nd",".16 vs .24, Expt 1","","",1.05008914605827,0.991156586431192,0.0196960016489575,0.0771400241984233,0.0577578101998404,0.00123544742658422
"21",37,24,2006,"Sagel et al","Sagel, Berkebile, Foster & Skoda","Journal of Entomological Science","The optimum diet of spray-dried animal blood cells as protein source for adult screwworms (Diptera: Calliphoridae)","Cochliomyia hominivorax","Diptera","mixed sex","adult","% egg hatch",69.7,5.68,5.68,5,69.3,5.69,5.69,5,"sd","nd","1.25 vs 2.75 Expt 3","","",0.983543958050574,0.987887957631062,0.0616802983413829,0.0617988846158991,-0.00440695575274627,0.00152200276309138
"22",38,25,2017,"Sattar","Sattar","Pakistan J Zool","Impact of Proteins in Adult Artificial Diet of Chrysoperla carnea (Stephens) (Neuroptera: Chrysopidae) on Biological Parameters","Chrysoperla carnea","Neuroptera","mixed sex","adult","fertility %",62.2,7.127636354,2.52,8,45.06,6.986214998,2.47,8,"se"," -","Casein 1 vs 7%","","",0.735917439109571,0.908642359283986,0.0702056443782971,0.0734978180621975,-0.210833635312089,0.00128751913936605
"23",39,25,2017,"Sattar","Sattar","Pakistan J Zool","Impact of Proteins in Adult Artificial Diet of Chrysoperla carnea (Stephens) (Neuroptera: Chrysopidae) on Biological Parameters","Chrysoperla carnea","Neuroptera","mixed sex","adult","fertility %",74.06,6.618519472,2.34,8,57.33,5.006316011,1.77,8,"se"," -","protein hydrolysate 1 vs 7%","","",0.858963290812755,1.03640971707871,0.0506099574168428,0.0755012280328927,-0.187791638165581,0.0010203387076802
"24",40,25,2017,"Sattar","Sattar","Pakistan J Zool","Impact of Proteins in Adult Artificial Diet of Chrysoperla carnea (Stephens) (Neuroptera: Chrysopidae) on Biological Parameters","Chrysoperla carnea","Neuroptera","mixed sex","adult","fertility %",65.25,14.50983115,5.13,8,47.34,12.9824805,4.59,8,"se"," -","torula yeast 1 vs 7%","","",0.758785599992676,0.940367378036571,0.130008913573942,0.152357802638966,-0.214551366070774,0.00498443181733615
"25",41,25,2017,"Sattar","Sattar","Pakistan J Zool","Impact of Proteins in Adult Artificial Diet of Chrysoperla carnea (Stephens) (Neuroptera: Chrysopidae) on Biological Parameters","Chrysoperla carnea","Neuroptera","mixed sex","adult","fertility %",65.71,11.62483548,4.11,8,50.01,2.234457429,0.79,8,"se"," -","nu lure 1 vs 7%","","",0.785498163398115,0.94520509370855,0.0223445747368915,0.122449592296905,-0.185083814763513,0.00188433789519324
"26",42,26,2017,"Wilder & Schneider","Wilder & Schneider","J Insect Physiology","Micronutrient consumption by female Argiope bruennichi affects offspring survival","Argiope bruennichi","Araneae","female","adult","% egg hatch",68,26.83281573,6,20,75,30.5122926,7,19,"se","nd","control vs EAA","hatching success does not equal # hatching/# eggs?","",1.0471975511966,0.969532110115768,0.352325606924053,0.287611870817791,0.0770592817447416,0.0109271760772646
"27",43,27,2013,"Zhang et al","Zhang et al","Aquaculture","Effects of different monoalgal diets on egg production, hatching success and apoptosis induction in a Mediterranean population of the calanoid copepod Acartia tonsa (Dana)","Acartia tonsa","Calanoida","mixed sex","adult","% egg hatch",46.5,16,16,8,44.1,25.6,25.6,8,"sd","nd","2 diatoms SKE (low P) vs PHAE","","",0.726260378976446,0.750369516853423,0.257801102895429,0.160393446507783,-0.0326571750832096,0.0116411748305873
"28",44,28,2017,"Macartney et al","Macartney, Crean & Bonduriansky","J Evol Biol","Adult dietary protein has age- and context-dependent effects on male post-copulatory performance","Telostylinus angusticollis","Diptera","male","adult","% egg hatch",80.82,28.15,28.15,42,78.09,31.41,31.41,35,"sd"," - ","sugar vs sugar+yeast","Interactive effects, but there was a main effect of adult diet","",1.08367817330589,1.11747949366265,0.379681153714226,0.357490643032218,-0.0307147263039284,0.0077694368971306
"29",45,29,2017,"Polak et al","Polak et al","Proceedings B","Nutritional geometry of paternal effects on embryo mortality","Drosophila melanogaster","Diptera","male","adult","embryo mortality %",98.85,1.96,1.96,7,96.96,3.14,3.14,9,"sd","nd","Fig. 1b - taken from raw data","PXC interaction, but effect of carbs much stronger. ","",1.39554465726569,1.46335166323981,0.0914463882202788,0.0919155136899107,-0.047444690083304,0.00186439748890216
"30",46,29,2017,"Polak et al","Polak et al","Proceedings B","Nutritional geometry of paternal effects on embryo mortality","Drosophila melanogaster","Diptera","male","adult","embryo mortality %",99.58,1.1,1.1,7,99.42,0.99,0.99,7,"sd","nd","Fig. 1a - taken from raw data","","",1.49456478378429,1.50594346867076,0.0651859985663328,0.0850456262146479,-0.00758454133491443,0.0016259325011387
"31",47,30,2021,"Simmons et al ","Simmons et al ","Functional Ecology","Condition dependent seminal fluid gene expression and intergenerational paternal effects on ejaculate quality","Teleogryllus oceanicus","Orthoptera","male","development","% egg hatch",25,28,28,26,28,26,26,26,"sd","nd","","","",0.557598826699537,0.523598775598299,0.289533012071793,0.32331615074619,0.0629140596432305,0.00721069889323873
